Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Терещук,Ілля,Тарасович,male,1951-07-20,Інженер з якості,місто Яготин,"узвіз Луганська, буд. 4, Дружба , 49698",+380 17 555-93-84,uivasiuk@example.org
Андрійчук,Алла,Василівна,female,1938-01-14,Інженер з якості,місто Кальміуське,"шосе Небесної Сотні, буд. 509 кв. 4, Яготин, 13700",+380 88 316-84-66,orynafartushniak@example.org
Шелест,Адам,Станіславович,male,1945-03-05,Архітектор,селище Запоріжжя,"сквер Пироговський, буд. 3 кв. 3, Новояворівськ, 97335",+380 78 634-04-44,kostiantyn24@example.com
Баштан,Зиновій,Назарович,male,1962-04-01,Асистент керівника,хутір Бердянськ,"провулок Змієнка Всеволода, буд. 0 кв. 1, Привілля, 14782",000 299 82 31,medvedenkoamaliia@example.net
Артеменко,Ігор,Андрійович,male,1980-08-26,Аналітик даних,місто Зугрес,"площа Демократична, буд. 97, Дубно, 47893",+380 91 713 88 31,vira20@example.net
Філіпенко,Ярина,Леонідівна,female,1942-11-26,Програміст,селище Олександрія,"площа Сєченова, буд. 8, Переяслав, 46484",+380 (57) 425-40-73,dzyndraomelian@example.com
Василевич,Венедикт,Борисович,male,2008-08-10,Аудитор,хутір Верхньодніпровськ,"сквер Дмитрія Донського, буд. 22 кв. 06, Покров, 45608",980 71 90,ihor77@example.com
Рудько,Мирослав,Михайлович,male,2007-12-08,Кадровий менеджер,місто Яготин,"сквер Черняховського, буд. 199, Хирів, 27278",+380 97 978-89-78,wdemydenko@example.com
Михалюк,Тарас,Давидович,male,1945-12-19,Архітектор,селище Рожище,"шосе Задніпровського, буд. 139 кв. 05, Мар'їнка, 08125",595-93-14,mabrahamovskyi@example.net
Дзиндра,Демид,Романович,male,1986-09-09,Аудитор,хутір Борзна,"узвіз Геологічна, буд. 6 кв. 1, Ворожба, 43021",209 91 46,zabaraviktoriia@example.org
Давиденко,Теодор,Григорійович,male,1941-06-04,Системний адміністратор,хутір Запоріжжя,"вулиця Дюківський сад, буд. 9 кв. 16, Яворів, 20192",000 273-04-79,svitlana74@example.net
Дацюк,Станіслав,Михайлович,male,1980-04-11,Програміст,хутір Білозерське,"набережна Троїцького Миколи, буд. 765 кв. 61, Сімферополь, 07719",483 49 41,sviatoslavfurs@example.com
Гоголь-Яновський,Анастасія,Романівна,female,1975-08-20,Програміст,селище Дружба ,"узвіз 9-та Суворовська, буд. 192 кв. 8, Буськ, 33014",+380 70 714-60-30,vadymbezditko@example.net
Архимович,Зиновій,Давидович,male,1996-10-08,Тестувальник,хутір Бердичів,"набережна Лютеранський, буд. 68 кв. 826, Звенигородка, 41107",090 739 97 80,khaidamaka@example.com
Корсун,Юстим,Леонідович,male,1973-07-20,Менеджер з закупівель,місто Вільногірськ,"парк Балтський 6-й, буд. 6 кв. 049, Вуглегірськ, 55845",+380 (17) 437-89-21,bohodarsahal@example.net
Кармалюк,Емілія,Назарівна,female,1947-06-09,Менеджер з маркетингу,хутір Берестечко,"шосе Кругова, буд. 9, Тиврів, 61578",037 333-00-99,orobetshennadii@example.com
Негода,Сергій,Романович,male,1940-04-29,Дизайнер,місто Вишневе ,"узвіз Рєпіна, буд. 4 кв. 26, Васильків, 67446",014 161 27 69,iustyna10@example.com
Захарченко,Марія,Романівна,female,2006-10-22,Тестувальник,селище Збараж,"узвіз Скляна, буд. 4, Вуглегірськ, 04893",+380 77 160-72-44,pperebyinis@example.org
Карпенко,Варвара,Тарасівна,female,1959-11-06,Кадровий менеджер,хутір Кобеляки,"шосе 21-й км Старокиївської дороги, буд. 5 кв. 2, Зборів, 65490",006 606 05 48,avhustyn61@example.org
Ґерета,Хома,Ігорович,male,1950-07-16,Аудитор,хутір Бунге ,"узвіз Калнишевського Петра, буд. 3, Кременчук, 53585",063 163-87-04,sviatoslav90@example.net
Шелест,Марина,Тарасівна,female,1977-04-26,Аудитор,хутір Южне,"проспект Ковалевського узвіз, буд. 31, Щолкіне, 36375",+380 (35) 267-86-50,rostyslav50@example.org
Сірченко,Стефан,Олегович,male,1984-08-21,Фінансовий аналітик,хутір Житомир,"узвіз Транспортна, буд. 01 кв. 08, Ірміно, 10716",+380 (55) 359-28-52,zhalilosviatoslav@example.com
Ващенко,Юстим,Леонідович,male,1995-10-20,Менеджер з продукту,селище Сокаль,"площа Кордонна, буд. 87, Володимир-Волинський, 33688",+380 89 772-65-35,wpustovit@example.org
Михайличенко,Святослава,Тимофіївна,female,1951-05-16,Копірайтер,селище Чернівці,"проспект Херсонський, буд. 115 кв. 92, Могилів-Подільський, 85417",699 71 23,panteleimon91@example.org
Бабʼяк,Амалія,Григоріївна,female,1982-12-02,Асистент керівника,селище Одеса,"площа Ліверпульський, буд. 801 кв. 55, Знам'янка, 55846",+380 02 109-08-26,oleszakusylo@example.net
Александренко,Варвара,Захарівна,female,1984-12-10,Офіс-менеджер,місто Зоринськ,"вулиця Слов'янська, буд. 289 кв. 61, Борзна, 65780",548-94-58,verkhovynetsalevtyn@example.net
Саєнко,Герман,Андрійович,male,1947-12-13,HR-менеджер,селище Сокаль,"проспект Супутників, буд. 571, Липовець, 59868",371 12 57,talanopanas@example.org
Хорішко,Феофан,Кирилович,male,1948-07-27,Офіс-менеджер,селище Донецьк,"площа Озерна, буд. 780 кв. 279, Золочів, 85742",080 345-35-79,liudmylazhalilo@example.com
Забара,Емілія,Максимівна,female,1982-05-12,Аналітик даних,село Стебник,"проспект Білоруська, буд. 785 кв. 609, П'ятихатки, 77646",+380 52 808 40 48,alevtyn27@example.net
Височан,Соломон,Остапович,male,1990-09-13,Системний адміністратор,село Дунаївці,"шосе Бугаївська, буд. 786, Жашків, 74684",068 657-19-85,feofanmatiash@example.org
Пустовіт,Артем,Сергійович,male,2003-09-19,Архітектор,хутір Добропілля,"проспект Пересипська 10-та, буд. 817 кв. 66, Дрогобич, 64474",+380 09 756-56-98,kyrylo78@example.org
Худобʼяк,Лілія,Петрівна,female,1956-07-06,PR-менеджер,селище Ківерці,"сквер Академіка Воробйова, буд. 17 кв. 22, Федорівка, 54973",+380 22 320-68-26,liashkoorest@example.com
Чумаченко,Онисим,Геннадійович,male,1987-07-20,Аналітик даних,хутір Донецьк,"шосе Слави, буд. 993, Чоп, 73024",061 218 58 73,hryhorii10@example.net
Іваненко,Єфрем,Ігорович,male,1959-04-29,Аудитор,хутір Кипуче,"парк Магнітогорський, буд. 594 кв. 5, Тернівка , 60078",077 136 17 67,volodymyra12@example.org
Євдокименко,Альберт,Петрович,male,1975-11-22,Архітектор,місто Тальне,"шосе Закарпатська, буд. 66 кв. 75, Івано-Франківськ, 78855",+380 (87) 644-96-57,volodymyr67@example.org
Артимович,Василь,Олексійович,male,1944-12-06,Менеджер з закупівель,селище Путивль,"проспект Аеропортівський 4-й, буд. 068 кв. 329, Костянтинівка, 21371",098 070-77-06,opanasiatsenko@example.net
Короленко,Арсен,Тимофійович,male,1976-09-27,Тестувальник,село Жмеринка,"проспект Академіка Вільямса, буд. 3 кв. 5, Берестечко, 22708",+380 25 421 64 18,tereza98@example.org
Левченко,Оксана,Кирилівна,female,2002-05-24,Архітектор,селище Гайсин,"вулиця Професора Каришковського, буд. 3, Житомир, 80061",+380 46 057-28-11,khrystychkamilla@example.net
Малик,Ольга,Костянтинівна,female,1963-10-06,Менеджер з продукту,хутір Лисичанськ,"провулок Грецький, буд. 3, Дубляни, 09351",+380 44 010-53-04,iosyp23@example.org
Засенко,Одарка,Олександрівна,female,1963-03-07,Менеджер з маркетингу,хутір Новоград-Волинський,"шосе Майстерний, буд. 1 кв. 581, Інкерман, 06775",+380 35 597-83-20,rvashchenko@example.com
Вовк,Соломія,Андріївна,female,1939-07-20,Фінансовий аналітик,село Торецьк,"сквер Сортувальна 2-га, буд. 063 кв. 63, Бобровиця, 63716",006 859 87 90,alevtyn20@example.org
Алексюк,Болеслав,Іванович,male,1939-08-02,Інженер з якості,місто Молодогвардійськ,"вулиця Квітковий, буд. 6 кв. 00, Кролевець, 43597",+380 63 569 19 95,budovychenko@example.net
Башполченко,Ада,Остапівна,female,1951-02-24,Бухгалтер,місто Кам'янське,"проспект Акордна, буд. 54, Середина-Буда, 03519",089 329-00-84,evdovychenko@example.com
Бабак,Тимофій,Іванович,male,1939-03-23,Копірайтер,селище Охтирка,"проспект Кузнечна, буд. 8, Коломия, 75876",304 02 28,valentyna68@example.net
Козак,Яків,Євгенович,male,1949-05-27,Дизайнер,село Христинівка,"площа Одарія, буд. 1 кв. 656, Брянка, 28473",970 67 56,zlatoslava45@example.org
Швачка,Феофан,Кирилович,male,1956-12-03,Копірайтер,селище Середина-Буда,"проспект Траса Здоров'я, буд. 20 кв. 90, Бахмач, 91368",002 811-48-56,stanislavlubenets@example.net
Чуйко,Демʼян,Михайлович,male,1998-07-29,Інженер з якості,селище Новоград-Волинський,"вулиця Генуезька, буд. 1, Токмак, 51890",032 442 31 60,hannadanylchuk@example.com
Приймак,Василь,Захарович,male,1959-09-28,Програміст,місто Новий Розділ,"парк Кощового отамана, буд. 386, Буськ, 03198",+380 (34) 199-23-01,stefan49@example.org
Бгиденко,Віталій,Олексійович,male,1961-07-14,Менеджер з маркетингу,селище Володимир-Волинський,"узвіз Валіховський, буд. 903 кв. 778, Верхньодніпровськ, 50069",+380 19 815-18-57,jdemianiuk@example.net
Чекалюк,Ярема,Сергійович,male,1942-07-13,Дизайнер,хутір Свалява,"провулок Ракетна, буд. 20 кв. 03, Липовець, 45601",+380 35 385 41 36,heorhii17@example.com
Ірванець,Пріска,Геннадіївна,female,1945-02-23,HR-менеджер,село Докучаєвськ,"площа Шота Руставелі, буд. 13 кв. 35, Чорнобиль, 44805",+380 37 682-01-12,liudmylazaichenko@example.net
Романенко,Михайлина,Данилівна,female,1958-08-26,Менеджер з маркетингу,селище Богодухів,"площа Дубовий гай, буд. 19, Семенівка, 21861",102-73-88,varfolomiiriabchenko@example.com
Худяк,Алла,Ігорівна,female,1969-02-07,Асистент керівника,селище Рогатин,"площа Касима Юрія, буд. 161 кв. 1, Яворів, 88782",085 816 79 97,mykhailo44@example.com
Аврамчук,Сніжана,Григоріївна,female,1982-11-04,Інженер з якості,село Кам'янське,"вулиця Нова, буд. 95, Коростишів, 89656",142 50 07,emiliia48@example.net
Вернигора,Богданна,Федорівна,female,1982-04-25,Інженер з якості,селище Здолбунів,"шосе Лінія 26-та, буд. 407 кв. 93, Бурштин , 27638",+380 00 981 04 30,volodymyrsimashkevych@example.com
Лупій,Варфоломій,Костянтинович,male,1967-09-20,Дизайнер,селище Чоп,"парк Композитора Глинки, буд. 92, Рубіжне, 47734",080 11 93,qskoryk@example.org
Верховинець,Олександр,Олександрович,male,1989-02-23,Тестувальник,місто Турка,"вулиця Травневий, буд. 89 кв. 04, Ірпінь, 16110",023 517 01 23,ilchenkoomelian@example.net
Пʼятаченко,Григорій,Борисович,male,1956-05-10,Аналітик даних,селище Теребовля,"шосе Більшовицький, буд. 4, Барвінкове, 64473",+380 31 734-63-95,demianhavrysh@example.org
Іваненко,Пантелеймон,Данилович,male,2001-09-22,Кадровий менеджер,село Сніжне,"шосе Ванцетті, буд. 823, Снігурівка, 26492",041 271 18 40,iarema42@example.org
Комар,Євген,Євгенович,male,1981-06-20,Архітектор,селище Броди,"шосе Селищна, буд. 0 кв. 801, Щолкіне, 37291",072 922 66 68,fizhakevych@example.com
Дашенко,Демид,Олегович,male,1976-03-30,Програміст,хутір Вільногірськ,"шосе Павлодарська, буд. 9, Ялта, 57087",734-97-29,rdeineka@example.net
Пилипенко,Володимир,Кирилович,male,1971-10-08,Дизайнер,село Рудки,"сквер Західний 2-й, буд. 22, Старий Самбір, 73323",+380 95 835 01 94,stusmarusia@example.net
Овчаренко,Климент,Денисович,male,1999-11-21,Кадровий менеджер,місто Міусинськ,"сквер Лиманчик 2-й Лінія 11-та, буд. 27, Бахмут, 03667",891 62 30,hlibhodunok@example.net
Андрусенко,Варвара,Юріївна,female,1975-04-01,Копірайтер,селище Березівка,"сквер Лиманна, буд. 6, Соснівка , 78204",049 147-36-43,okseniia49@example.com
Дрозд,Леопольд,Ігорович,male,2004-04-05,Офіс-менеджер,селище Шепетівка,"проспект 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 25 кв. 620, Васильків, 13006",+380 70 006-37-55,boryslav23@example.org
Пелех,Прохір,Захарович,male,1944-12-03,Програміст,місто Вугледар,"вулиця Промислова, буд. 0 кв. 238, Южноукраїнськ, 66727",040 789 08 32,eduardsavenko@example.org
Зубко,Любов,Леонідівна,female,1995-12-22,Системний адміністратор,місто Немирів,"провулок Десятого квітня, буд. 42 кв. 18, Долинська, 90778",+380 04 807-58-29,avhustyn46@example.net
Скоробогатько,Одарка,Зеновіївна,female,1940-10-26,Аудитор,село Глухів,"провулок Ланжеронівська, буд. 2 кв. 6, Пирятин, 81705",+380 36 578-01-55,tymofiiartymyshyn@example.net
Сіробаба,Вʼячеслав,Марківич,male,1948-01-31,Менеджер з продукту,місто Знам'янка,"набережна Академіка Векслера, буд. 9, Залізне, 16865",236 58 09,hohol-ianovskyiamaliia@example.org
Журба,Герман,Костянтинович,male,1993-08-31,Менеджер з продажу,хутір Бровари,"набережна Моторний 1-й, буд. 782 кв. 74, Вараш, 56398",+380 45 049-00-96,pdavymuka@example.net
Юхименко,Орест,Михайлович,male,1978-09-29,HR-менеджер,місто Світловодськ,"проспект Сєрогодського, буд. 734, Вовчанськ, 96069",+380 43 054 71 20,wshtokalo@example.net
Безбородько,Яків,Кирилович,male,1999-12-25,Фінансовий аналітик,селище Луганськ,"сквер Майстерний, буд. 60, Овруч, 04257",+380 08 713-62-72,amaliia45@example.com
Єресько,Михайлина,Павлівна,female,2008-08-21,Тестувальник,місто Міусинськ,"шосе 18-та Лінія 6-й ст. Люстдорфської дороги, буд. 183, Тячів, 81338",+380 (07) 743-41-20,petro25@example.net
Фесенко,Богдан,Олегович,male,1951-05-30,Менеджер з закупівель,село Броди,"площа Харківська, буд. 347 кв. 6, Оріхів, 17387",+380 33 606 93 58,maryna40@example.org
Власенко,Марина,Михайлівна,female,1959-10-03,PR-менеджер,селище Рубіжне,"парк Казковий, буд. 1 кв. 288, Жашків, 03185",+380 (35) 639-57-09,darynateslenko@example.org
Баранник,Сніжана,Григоріївна,female,1946-06-10,Тестувальник,місто Карлівка,"набережна Ананьївська, буд. 399 кв. 12, Берислав, 66593",+380 88 847-17-90,bashtaniakiv@example.com
Штокало,Зиновій,Федорович,male,1977-06-18,PR-менеджер,село Овруч,"шосе Степана Разіна, буд. 651 кв. 0, Кам'янка (Черкаська область), 38109",162 49 03,vadym63@example.org
Андрусенко,Олександр,Павлович,male,1958-03-15,Фінансовий аналітик,місто Щастя ,"проспект Косий, буд. 549, Тернопіль, 57701",048 212-18-74,lfastenko@example.com
Ґалаґан,Пармен,Ігорович,male,2003-11-04,Менеджер з закупівель,місто Полонне,"шосе Лідерсівський, буд. 173 кв. 9, Апостолове, 37256",+380 91 666-89-69,danyliukiustyna@example.com
Фурс,Георгій,Тимофійович,male,1947-05-31,Системний адміністратор,село Вугледар,"шосе Глазунова 2-й, буд. 7, Молодогвардійськ, 10043",+380 09 812-36-92,iashchukdaryna@example.net
Гайдабура,Остап,Леонідович,male,1970-12-28,Дизайнер,хутір Міусинськ,"шосе Павла Шклярука, буд. 8 кв. 35, Пустомити, 97721",+380 37 969 10 99,olukash@example.org
Сагаль,Руслан,Ігорович,male,1982-04-05,Кадровий менеджер,селище Оріхів,"вулиця Селекційний, буд. 9, Новгород-Сіверський, 90946",021 358 53 84,vasyllubenets@example.com
Дубенко,Арсен,Ігорович,male,1948-10-03,Програміст,селище Бердичів,"провулок Штабний, буд. 693, Рудки, 69710",074 188-72-27,borysostapchuk@example.com
Щорс,Тарас,Зеновійович,male,1992-04-20,Менеджер з закупівель,село Жашків,"шосе Польська, буд. 64, Зміїв, 56195",+380 50 051-48-15,ioberemko@example.com
Артимович,Зорян,Іванович,male,1985-01-05,Кадровий менеджер,селище Дрогобич,"парк Орловська, буд. 506, Сєвєродонецьк, 87323",+380 34 106 50 25,anzhelalupii@example.org
Устенко,Роман,Геннадійович,male,1950-06-17,Фінансовий аналітик,село Камінь-Каширський,"вулиця Пiвденний, буд. 3, Калуш, 29589",883-06-49,oleksanalyvaiko@example.com
Алексеєнко,Богуслава,Денисівна,female,1949-10-07,PR-менеджер,хутір Євпаторія,"провулок Самодіяльна, буд. 0, Волочиськ, 13773",022-22-68,petliuraiefrem@example.com
Шинкаренко,Яків,Назарович,male,1945-01-05,Менеджер з маркетингу,селище Южноукраїнськ,"набережна Чапаєва, буд. 48 кв. 9, Щолкіне, 60419",586-91-50,zhadanihor@example.net
Оліфіренко,Роксолана,Василівна,female,1942-04-26,Менеджер з маркетингу,село Житомир,"сквер Фабрична, буд. 274, Інкерман, 54170",482 00 71,ustym64@example.com
Перепелиця,Єва,Давидівна,female,1946-03-15,Менеджер з маркетингу,село Білогірськ,"площа Балтський 5-й, буд. 0, Здолбунів, 70844",049 294 88 25,zakusylospas@example.com
Пелех,Степан,Геннадійович,male,1966-04-17,HR-менеджер,місто Мирноград,"узвіз Лінія 26-та, буд. 1 кв. 1, Голубівка, 64583",+380 24 425 18 09,kfastenko@example.net
Ляшко,Тереза,Тарасівна,female,1956-05-06,Аналітик даних,місто Белз,"сквер Дніпровська, буд. 3 кв. 67, Васильків, 40561",239-53-71,shukhevychzynovii@example.net
Скиба,Тарас,Данилович,male,1979-01-03,Бухгалтер,село Корсунь-Шевченківський,"площа Травневий 2-й, буд. 75, Апостолове, 85556",034 402 48 22,geretaiukhym@example.com
Височан,Хома,Олександрович,male,1940-12-16,Програміст,селище Чугуїв,"вулиця Пролетарський 3-й, буд. 0 кв. 31, Бахмут, 19349",016 235-62-40,tmamchur@example.org
Оліфіренко,Венедикт,Кирилович,male,1947-04-05,Менеджер з закупівель,селище Балта,"провулок Бреуса, буд. 88 кв. 600, Ізмаїл, 09323",+380 39 347 65 91,shapovalanton@example.com
Баран,Миколай,Михайлович,male,2007-03-08,Аудитор,хутір Кам'янське,"парк Окружна, буд. 834 кв. 7, Городище , 26248",+380 (32) 827-90-70,zmykhailychenko@example.org
Єфименко,Камілла,Борисівна,female,1962-07-30,Фінансовий аналітик,хутір Часів Яр,"сквер Італійський, буд. 351, Щолкіне, 90338",703 04 21,violetta01@example.org
Кабаненко,Валентина,Михайлівна,female,1993-09-03,Менеджер з продукту,село Носівка,"вулиця Псковський, буд. 0 кв. 3, Немирів, 92698",+380 (74) 721-26-25,morlyk@example.net
Луценко,Єлисей,Васильович,male,1943-03-03,Менеджер з продукту,місто Кобеляки,"провулок Кришталева, буд. 375, Славута, 12079",057 092-87-23,nataliiadatsenko@example.com
Єсипенко,Ілля,Іванович,male,1965-10-27,Менеджер з закупівель,місто Молодогвардійськ,"проспект Луцька, буд. 62 кв. 0, Путивль, 34072",952-83-16,orysia92@example.org
Макаренко,Хома,Станіславович,male,2003-10-14,Архітектор,селище Павлоград,"провулок Строганова, буд. 2 кв. 3, Тетіїв, 03551",075 778 09 04,svystunbohuslav@example.net
Верховинець,Стефан,Мар'янович,male,1993-04-05,Копірайтер,місто Умань,"парк Маланова, буд. 00, Кипуче, 15856",068 511-23-35,prymachenkopanteleimon@example.net
Дуплій,Юхим,Андрійович,male,1950-05-26,HR-менеджер,селище Семенівка,"площа Виноградна 2-га, буд. 7, Харцизьк, 19766",+380 00 874-96-02,vermenychkyrylo@example.org
Ткач,Богданна,Тимофіївна,female,1965-02-21,Менеджер з продажу,селище Острог,"набережна Хаджибейська дорога, буд. 462, Червоносів, 97972",399 47 50,chabanamaliia@example.com
Петлюра,Єлисавета,Павлівна,female,1958-07-19,Менеджер з продукту,місто Новомосковськ,"вулиця Аеродромний 1-й, буд. 2 кв. 70, Решетилівка, 48110",+380 18 648 75 71,nilienko@example.net
Цюцюра,Станіслав,Васильович,male,1947-04-07,Інженер з якості,село Білгород-Дністровський,"парк Академічна, буд. 01 кв. 006, Кобеляки, 24268",+380 23 969-89-95,snizhana57@example.com
Лавренко,Данна,Євгенівна,female,1999-06-26,Фінансовий аналітик,хутір Теребовля,"парк Академіка Вавилова, буд. 13, Теребовля, 97398",+380 36 434-68-68,allabezborodko@example.com
Христенко,Ярослав,Олександрович,male,1956-10-28,Аналітик даних,місто Городище ,"проспект Дністровська, буд. 960 кв. 946, Самбір, 55093",292-01-56,stefankorsun@example.net
Вівчаренко,Веніямин,Давидович,male,1955-03-09,Менеджер з маркетингу,село Бучач,"вулиця Шилова, буд. 45 кв. 761, Кагарлик, 09744",065 600-12-85,valentyn62@example.net
Акуленко,Максим,Васильович,male,1947-06-29,Фінансовий аналітик,село Зіньків,"узвіз Скидановський узвіз, буд. 91 кв. 65, Олевськ, 69361",069 175 42 09,priska74@example.com
Деряжний,Аарон,Данилович,male,1994-05-17,Копірайтер,місто Вишгород,"парк Михайлівська, буд. 4, Вільнянськ, 94047",+380 40 563-30-93,ihorshcherban@example.org
Зінкевич,Софія,Олегівна,female,1978-01-17,Офіс-менеджер,село Путивль,"шосе Липнева, буд. 0 кв. 25, Каховка, 64079",039 368 52 02,sviatoslava06@example.net
Ґерета,Єва,Іванівна,female,1954-03-10,HR-менеджер,селище Святогірськ,"шосе Радіальна, буд. 704 кв. 41, Трускавець, 67132",+380 (65) 951-14-67,vitaliikolodub@example.org
Андрійович,Емілія,Мар'янівна,female,1957-01-17,Менеджер з закупівель,місто Лозова ,"сквер Монастирський, буд. 22 кв. 61, Сторожинець, 17942",294-62-60,albert59@example.net
Жадан,Спас,Володимирович,male,1994-10-21,Дизайнер,місто Бердянськ,"узвіз Варненська, буд. 4, Чоп, 77202",048 456 89 46,zinchenkoanton@example.org
Бабич,Павло,Геннадійович,male,1989-02-23,Фінансовий аналітик,село Чуднів,"набережна Казанська, буд. 4, Заставна, 69824",074 647-15-25,abramenkoalevtyn@example.com
Данькевич,Пантелеймон,Федорович,male,2001-01-22,Асистент керівника,хутір Кам'янка-Дніпровська,"набережна Дунаєвського 3-й, буд. 226 кв. 5, Хмельницький, 24448",+380 97 821-64-79,dzyndramariia@example.com
Артим,Богуслава,Сергіївна,female,1961-01-16,Асистент керівника,село Чоп,"набережна Хаджибейський 1-й, буд. 727, Кобеляки, 60207",007 507 01 95,bairakavhustyn@example.net
Лисенко,Лариса,Павлівна,female,1978-11-21,Архітектор,село Васильків,"сквер Фабрична, буд. 064, Косів, 84143",022 784-03-49,danylchukoleksandr@example.com
Носаченко,Семен,Михайлович,male,1987-11-06,Асистент керівника,село Боярка,"площа Змієнка Всеволода, буд. 221, Докучаєвськ, 57926",031 766 06 05,xieromenko@example.net
Рудик,Михайлина,Марківна,female,2008-08-09,Аудитор,хутір Ватутіне,"шосе Обільна, буд. 264 кв. 6, Роздільна, 16079",205-88-19,sychhanna@example.net
Лисенко,Зорян,Марківич,male,1986-06-12,Аудитор,селище Богодухів,"проспект Миколи Вороного, буд. 72 кв. 8, Монастириська, 93316",+380 99 054-86-43,marynadankiv@example.com
Михалюк,Лукʼян,Давидович,male,2004-02-21,Менеджер з закупівель,місто Гребінка,"узвіз Солонцюватий, буд. 802 кв. 9, Єнакієве, 86509",034 32 88,havryshodarka@example.com
Баран,Маруся,Василівна,female,1939-02-06,Аудитор,хутір Ворожба,"набережна Академіка Корольова, буд. 54 кв. 141, Вижниця, 84237",088 41 90,vlasenkoiaroslav@example.net
Терещук,Юстина,Тарасівна,female,1966-01-20,PR-менеджер,село Обухів,"провулок Добровольського, буд. 3, Краматорськ, 54886",+380 (59) 192-17-80,khrystyna15@example.org
Рябець,Августин,Вікторович,male,1995-05-01,Менеджер з закупівель,селище Українка ,"проспект Творча, буд. 8 кв. 4, Перемишляни, 73016",+380 83 085-72-97,bohuslav19@example.com
Бездітко,Ігор,Петрович,male,1962-10-26,Бухгалтер,село Судак ,"набережна 4-та Суворовська, буд. 8, Звенигородка, 62042",+380 98 176-14-17,danyloieroshenko@example.net
Рудько,Роман,Геннадійович,male,1949-06-15,Офіс-менеджер,село Старий Крим,"сквер Марії Демченко, буд. 66 кв. 670, Бердичів, 93937",+380 96 160-35-28,albina65@example.net
Цушко,Віра,Євгенівна,female,1988-03-07,Дизайнер,хутір Рахів,"вулиця Чорноморський 11-й, буд. 22 кв. 040, Бердянськ, 58058",098 987-17-71,semen64@example.com
Михайличенко,Ігнат,Борисович,male,2003-01-06,Аналітик даних,селище Бахмач,"шосе Ламаний, буд. 6, Докучаєвськ, 25665",134 09 35,zorian80@example.com
Журавель,Йосип,Ярославович,male,1958-04-18,Системний адміністратор,хутір Кобеляки,"набережна Підйомний, буд. 50, Ходорів, 53107",+380 55 501-85-78,ieroshenkooles@example.net
Андрієвич,Орися,Давидівна,female,1998-05-28,Архітектор,хутір Здолбунів,"шосе Східний, буд. 948 кв. 7, Трускавець, 29884",+380 12 675 05 60,riabchenkoavrelii@example.com
Палій,Оксана,Мар'янівна,female,1968-04-22,Дизайнер,місто Чистякове,"узвіз Садова 2-га, буд. 726 кв. 2, Козятин, 59760",+380 (60) 777-95-34,cmykhailychenko@example.org
Гайдамака,Варвара,Володимирівна,female,1973-04-22,Аудитор,місто Щастя ,"провулок Іванівська, буд. 15, Кодима, 56388",004 145 20 21,qkabaliuk@example.org
Рябченко,Алла,Мар'янівна,female,1991-03-28,Менеджер з маркетингу,село Генічеськ,"провулок Юрія Олеші, буд. 007, Хотин, 29660",+380 50 461 06 01,piashchenko@example.com
Шевченко,Амвросій,Ігорович,male,1944-01-17,Менеджер з продукту,хутір Алмазна,"шосе Ткачова, буд. 51 кв. 4, Олевськ, 89808",558-46-04,vakulenkoazar@example.com
Дробаха,Олекса,Мар'янович,male,1954-01-29,Кадровий менеджер,місто Біла Церква,"площа Суднобудівний, буд. 098, Заліщики, 13701",038 840-24-43,huzalevtyn@example.com
Яремко,Софія,Костянтинівна,female,1975-06-29,Менеджер з продажу,село Сіверськ,"проспект Успенський, буд. 817 кв. 2, Бучач, 40878",+380 94 173 08 34,bfartushniak@example.com
Скирда,Ярослава,Олексіївна,female,1985-09-01,Менеджер з закупівель,село Очаків,"набережна Пересипська 4-та, буд. 561 кв. 15, Сєвєродонецьк, 45551",+380 65 613-40-24,veniiamyn06@example.com
Скопенко,Павло,Остапович,male,1987-10-11,Копірайтер,хутір Ананьїв,"сквер Черепанових, буд. 577, Чорнобиль, 32798",+380 (62) 951-67-22,vlasiukmykhailo@example.com
Якименко,Ростислав,Євгенович,male,1997-06-21,Фінансовий аналітик,хутір Кам'янка-Дніпровська,"узвіз Баркасний, буд. 364, П'ятихатки, 76460",+380 21 067 69 18,davydenkovioletta@example.org
Ткаченко,Олена,Костянтинівна,female,2005-06-25,Інженер з якості,селище Олександрія,"парк Приморська, буд. 1, Дергачі, 39020",306-59-90,iemelianenkoillia@example.net
Петлюра,Аврелій,Максимович,male,1952-02-12,Бухгалтер,місто Федорівка,"провулок Перлинна, буд. 8 кв. 84, Красноперекопськ, 78250",063 857-32-76,lizazhaivoron@example.com
Дейнека,Віра,Костянтинівна,female,1954-10-08,Тестувальник,хутір Первомайськ,"провулок Бригадна, буд. 3 кв. 546, Лубни, 06499",+380 (98) 118-59-49,amaliialytvyn@example.net
Жадан,Валерій,Геннадійович,male,1943-03-20,Копірайтер,хутір Чернігів,"сквер Матроська Слобідка, буд. 318, Білозерське, 11022",+380 (94) 288-10-64,bohdannakolisnychenko@example.org
Рябовіл,Лілія,Станіславівна,female,1959-07-30,Асистент керівника,селище П'ятихатки,"вулиця Китобійний 1-й, буд. 281 кв. 022, Новоукраїнка, 63181",490-58-96,vasylashkonestor@example.net
